StudentID,FirstName,LastName,Class,BlockReason
907,Nordine,RAHIM,CM2-B,
908,Manon,LEMOINE,CM2-B,
909,Redouane,DJEBBAR,CM2-B,
910,Juliette,LAMBERT,CM2-B,
911,Salah,MAZARI,CM2-B,
912,Charlotte,VASSEUR,CM2-B,
913,Nadir,CHÉRIF,CM2-B,
914,Mathilde,ROUX,CM2-B,
915,Samir,BOUALEM,CM2-B,
916,Elodie,ROUSSEAU,CM2-B,
917,Tarek,BENMOHAMED,CM2-B,
918,Anaïs,GIRAUD,CM2-B,
919,Nabil,KRIM,CM2-B,
920,Émilie,DUPONT,CM2-B,
921,Hamid,SEDDIKI,CM2-B,
922,Amélie,MARCHAND,CM2-B,
923,Slimane,OUAHAB,CM2-B,
924,Laurine,NOEL,CM2-B,
